cluster_id,claim,coverage,support,wisdom_score,x,y
1814,"Just as one calls into the forest, so it echoes back.",10,11,13.3,1.8952433,5.0559773
261,A honey tongue and a heart of gall.,10,10,13.0,3.501857,5.8434854
301,Prefer be alone over in bad company..,10,10,13.0,7.911361,5.50595
324,When in trouble first of all every one himself should do his best to improve his condition.,10,10,13.0,1.802277,5.0570154
416,Avoid throw pearls before swine..,10,10,13.0,8.454231,7.002105
858,Walls have ears.,10,10,13.0,3.972774,5.4719396
909,A friend in need is a friend indeed.,10,10,13.0,4.582472,10.711502
1022,While the grass grows the steed starves.,10,10,13.0,3.4744146,2.8811014
1698,A lifestyle that involves neither staying up late nor sleeping late is good for body and mind and leads to financial success.,10,10,13.0,2.0480132,3.6047359
2356,"Avoid one knows where the shoe pinches, but he who wears it..",10,10,13.0,8.472567,6.9991045
2509,"Love me, love my dog.",10,10,13.0,0.8918689,7.48089
883,Forbidden fruit is sweet.,9,11,12.3,0.749483,6.1953244
1381,Meaning: One should not make a bad situation even worse by an improper remark.,9,10,12.0,-7.115774,12.892196
273,Little strokes fell great oaks.,9,9,11.7,-2.60914,2.7390935
317,You can catch more flies with a drop of honey than with a barrel of vinegar.,9,9,11.7,6.3304768,4.951436
685,Misfortune comes on horseback and goes away on foot.,9,9,11.7,-0.6419106,5.4021897
810,Leave a jest when it pleases you best.,9,9,11.7,2.318773,2.7766523
843,Nobody can fully understand another person's hardship or suffering.,9,9,11.7,2.0216095,1.9247621
879,"There is no effect without some cause. or It is supposed that if there is a rumour, there must be some truth behind it.",9,9,11.7,0.576612,3.7743998
1060,"Children, fools and drunken men tell the truth.",9,9,11.7,3.19135,5.4215336
1101,Every why has a wherefore.,9,9,11.7,-0.6111235,4.189002
1119,"Measure thrice, cut once.",9,9,11.7,-0.85777926,8.311165
1312,Look before you leap.,9,9,11.7,4.624356,5.3229394
1372,"A difficult task, e. g. removing a person/group from a strong position, or changing established ideas cannot be done quickly. It can be achieved gradually, by small steps, a little at a time.",9,9,11.7,2.3104696,0.26167345
2183,"If the shoe fits, then wear it..",9,9,11.7,3.2276762,2.9714615
3048,"Physician, heal yourself!",9,9,11.7,4.91564,5.699157
112,"If the mountain will not come to Mohammed, then Mohammed must go to the mountain..",8,10,11.0,4.8480635,3.166253
307,"He who laughs last, laughs longest.",8,10,11.0,1.6326404,4.7496505
398,Judge not a man and things at first sight.,8,10,11.0,4.1276197,4.6338563
1264,Fortune favors the bold.,8,10,11.0,0.21820894,5.057017
73,"Preachers say: Do as I say, not as I do.",8,9,10.7,2.043293,5.8806596
94,Actions speak louder than words.,8,9,10.7,3.0028605,1.5161252
624,"Once bitten, twice shy.",8,9,10.7,0.5196494,8.4603195
1086,None so deaf as those who will not hear.,8,9,10.7,5.101034,3.2194614
2243,"First come, first served.",8,9,10.7,-0.85946125,5.89666
3536,"Among the blind, the one-eyed is king.",8,9,10.7,3.5675428,3.448408
3866,A closed mouth catches no flies.,8,9,10.7,0.12780842,7.3937306
1,Make haste slowly.,8,8,10.4,4.2180343,1.0246795
141,You get what you pay for.,8,8,10.4,5.1392193,5.372258
194,"Translation: Such father, such son.",8,8,10.4,-0.2749394,-4.9085903
263,"He who digs a pit for others, will fall in it himself.",8,8,10.4,4.9178267,3.2990882
392,People who live in glass houses shouldn't throw stones.,8,8,10.4,1.0442355,2.5170145
397,"Concentrate on one thing at a time or you will achieve nothing. - Trying to do two or more things at a time, when even one on its own needs full effort, means that none of them will be accomplished properly.",8,8,10.4,4.6429844,4.3678064
501,"Why wantonly proclaim one's own disgrace, or expose the faults or weaknesses of one's kindred or people?",8,8,10.4,1.7445772,5.000494
599,One today is worth two tomorrows.,8,8,10.4,1.326771,5.8888063
850,"Love, smoke and cough are hard to hide.",8,8,10.4,3.303522,5.994289
857,Old habits die hard.,8,8,10.4,1.0696071,7.8002796
985,Practice makes perfect.,8,8,10.4,4.197129,1.0600244
1350,You must meet roughness with roughness.,8,8,10.4,6.258342,5.0322027
1461,Honesty is the best policy.,8,8,10.4,3.168604,3.2837276
1503,Those who act boldly or courageously are most likely to succeed.,8,8,10.4,1.8113486,4.459733
1586,"As you make your bed, so you must lie.",8,8,10.4,5.131848,5.372203
1709,Translation: Pride comes before fall.,8,8,10.4,0.10062184,-5.4303565
1770,A man is known by the company he keeps.,8,8,10.4,1.7586364,5.326469
1789,You are more likely to win if you take the initiative and make an attack rather than preparing to defend yourself.,8,8,10.4,4.8346424,5.342148
1796,"Meaning: ""If you cannot get what you want, you must adapt yourself to the circumstances or adopt a different approach.",8,8,10.4,-6.5710473,13.039568
1806,Good wine needs no bush.,8,8,10.4,0.84267926,0.7368592
1913,What you say may be overheard; used as a warning.,8,8,10.4,4.853961,5.316295
2195,Prefer an egg today over a hen tomorrow..,8,8,10.4,7.929568,5.457452
2279,It is a good horse that never stumbles.,8,8,10.4,0.79752684,1.3670355
2492,A stitch in time saves nine.,8,8,10.4,0.042912405,6.53845
2662,Opportunity knocks only once.,8,8,10.4,0.3211866,5.6162806
3192,"Grasp all, lose all.",8,8,10.4,0.8117523,7.553059
3334,What is bred in the bone will not go out of the flesh.,8,8,10.4,5.2283554,2.8848553
3449,Envy is its own torturer.,8,8,10.4,1.6673546,5.7859774
3719,The cobbler's wife is the worst shod.,8,8,10.4,3.461077,2.9806986
4038,"A mountain never meets a mountain, but a man meets a man.",8,8,10.4,0.08828714,3.3039577
5053,In wine there is truth.,8,8,10.4,0.5402133,3.77557
5086,A good anvil does not fear the hammer.,8,8,10.4,0.81483006,-0.31678766
10,Beggars can’t be choosers.,7,10,10.0,-1.0960672,8.833222
844,A chain is only as strong as its weakest link.,7,10,10.0,0.9592735,7.1383543
1685,Nobody can serve two masters.,7,9,9.7,2.3814762,6.4979987
238,He that makes himself a sheep shall be eaten by the wolf.,7,8,9.4,3.746137,1.4928498
349,Haste makes waste.,7,8,9.4,4.2260623,1.0123653
368,Absence makes the heart grow fonder.,7,8,9.4,4.018916,1.2618526
508,Don't leave for tomorrow what you can do today.,7,8,9.4,5.6236815,6.1785197
585,Out of the frying pan and into the fire.,7,8,9.4,3.5202756,4.784696
743,At night all cats are grey.,7,8,9.4,0.8451937,5.8574233
991,All roads lead to Rome.,7,8,9.4,2.2047024,6.837077
1003,He who serves God has a good master.,7,8,9.4,0.9432971,0.89488524
1108,One nail drives out another.,7,8,9.4,2.0023093,1.5521978
1425,"Ash Chandler, Freudian Slip , Mumbai Mirror Buzz , April 2006.",7,8,9.4,0.448718,7.8273783
1470,There is no smoke without fire .,7,8,9.4,7.2092357,4.812356
1641,He who sups with the devil must use a long spoon.,7,8,9.4,6.5073423,4.6892548
6790,"We often apply it to exchanges among servants, clerks, or any persons employed, whose service, at first, in any new place, is very good, both efficient and faithful; but very soon, when all the new circumstances have lost their novelty, and all their curiosity has ceased, they naturally fall into their former and habitual slackness.",7,8,9.4,3.307546,4.812727
229,Faith is half the battle.,7,7,9.1,2.7837539,3.4299603
361,Time is money.,7,7,9.1,1.3046623,5.984999
423,"Emanuel Strauss. ""70"" . Concise Dictionary of European Proverbs .",7,7,9.1,7.039397,0.15907589
459,Sell not the bear's skin before you have caught him.,7,7,9.1,4.6679296,5.422431
473,"He that will not when he may, when he will he may have nay.",7,7,9.1,5.0049367,2.8695526
541,Don't put all your eggs in the same basket.,7,7,9.1,5.6325965,6.171296
605,A fair face and a foul heart.,7,7,9.1,3.525843,6.153568
646,He was in Rome and did not see the pope.,7,7,9.1,2.8353841,5.557322
699,Prefer never begun over never ended; He that takes the devil into the boat must carry him over the sound..,7,7,9.1,7.870255,5.490332
816,People who know they have done wrong reveal their guilt by the things they say or the way they interpret what other people say.,7,7,9.1,2.2911587,4.220042
838,"Meaning: ""When baffled in one direction a man of energy will not despair, but will find another way to his object.",7,7,9.1,-7.119127,12.806396
919,Whatever measure you deal out to others will be dealt back to you.,7,7,9.1,5.273964,4.4741807
1013,"A drop hollows out the stone by falling not twice, but many times; so too is a person made wise by reading not two, but many book s.",7,7,9.1,2.6727362,6.689447
1015,Take counsel of one's pillow.,7,7,9.1,1.3314338,5.6621814
1078,An old dog barks not in vain.,7,7,9.1,2.0026982,5.9571915
1090,A bad compromise is better than a good lawsuit .,7,7,9.1,0.22413999,0.363423
1151,The more the merrier.,7,7,9.1,3.3297286,2.0053394
1171,"If the beard were all, then the goat might preach..",7,7,9.1,3.3302426,2.9263575
1208,A king's favour is no inheritance.,7,7,9.1,1.0827448,6.76734
1274,The good is the enemy of the best.,7,7,9.1,1.0594175,0.9219945
1292,Prefer bow over break..,7,7,9.1,7.9084725,5.4953246
1301,You must not run after two hares at the same time.,7,7,9.1,4.522162,5.1965437
1306,"Meaning: There are some things/events that are impossible, like an encounter of mountains, but there is always a chance for people to meet. or Once can always find a possibility for revenge.",7,7,9.1,-6.8426228,12.575377
1317,There are too many chiefs and not enough indians.,7,7,9.1,0.9367069,4.0367556
1351,History repeats itself.,7,7,9.1,2.0587134,5.270356
1411,Problems and misfortunes along the way can be forgotten as long as the end is satisfactory.,7,7,9.1,0.77289605,4.897889
1447,Many a true word is spoken in jest.,7,7,9.1,1.6704352,6.9836683
1506,It is considered contemptible to defy the rule of solidarity by revealing facts harmful to the group one belongs to.,7,7,9.1,3.3653538,4.046458
1575,One cannot ( or should not) expect to benefit without making some effort.,7,7,9.1,6.7502203,4.8121386
1581,"Liars must remember the untruths they have told, to avoid contradicting themselves at some later date.",7,7,9.1,3.6005251,4.892275
1610,The best defence is a good offense.,7,7,9.1,1.0111231,0.83412516
1694,English equivalentː Great talkers are little doers.,7,7,9.1,-7.3293123,-1.8616356
1734,Things that you must not have or do are always the most desirable.,7,7,9.1,-7.99676,5.5766015
1856,Ingratitude is the world's reward.,7,7,9.1,2.9194205,3.706077
1981,Riding the high horse.,7,7,9.1,4.199074,3.3891113
2029,Don't blow your own horn.,7,7,9.1,5.6156774,6.142519
2106,A problem shared is a problem halved.,7,7,9.1,0.7945384,7.1407743
2121,Envy always shooteth at a high mark.,7,7,9.1,-8.054402,5.576322
2136,He that will not be counseled cannot be helped.,7,7,9.1,5.2226305,2.940944
2250,He that hath a head of wax must not walk in the sun.,7,7,9.1,1.6877242,3.059039
2397,A forgetful head makes a weary pair of heels.,7,7,9.1,4.168409,1.1387907
2407,Envy takes no holiday.,7,7,9.1,4.160658,1.1413876
2469,Silence gives consent.,7,7,9.1,-0.020715585,7.4200087
2508,A weak part or member will affect the success or effectiveness of the whole.,7,7,9.1,4.9143806,3.1491463
2634,It will all be the same a hundred years hence.,7,7,9.1,5.1139016,3.1331985
2666,Faint heart never won fair lady.,7,7,9.1,0.10135589,3.3385515
2838,"It is better to make some confession, or pay a little deference to others, our neighbors, friends, acquaintances, and especially our superiors, rather than lose our credit or break friendship.",7,7,9.1,4.474672,10.772527
2868,In the absence of the person in authority those under his control will often neglect the duties/rules imposed on them.,7,7,9.1,4.1106334,3.264225
2921,An ounce of patience is worth a pound of brains.,7,7,9.1,1.4757429,6.7659597
2934,One cannot serve two conflicting causes simultaneously. If this is attempted neither will be served properly.,7,7,9.1,4.934101,3.428463
2996,Advice most needed are the least heeded.,7,7,9.1,2.4234378,4.279591
3168,Fine words butter no parsnips.,7,7,9.1,1.5894742,9.09579
3215,Rats desert a sinking ship.,7,7,9.1,1.7885199,7.4541492
3484,You must put up with the unpleasant results of a foolish action or decision.,7,7,9.1,6.0240817,4.9790444
3659,"Plans are insulted destinies. I don't have plans, I only have goals.",7,7,9.1,4.061536,5.625176
4295,"If the blind lead the blind, then both shall fall into the ditch..",7,7,9.1,3.5617888,2.8081803
4311,Every tub must stand on its own bottom.,7,7,9.1,-0.35970995,4.10297
4404,A guilty conscience needs no accuser.,7,7,9.1,0.18828179,7.3261204
4530,Every man is the smith of his own fortune.,7,7,9.1,-0.50142574,4.1756973
4823,To smell a rat.,7,7,9.1,2.359817,6.759803
4983,"He that leaves the highway to cut short, commonly goes about.",7,7,9.1,1.6321828,3.3635266
6305,Much ado about nothing.,7,7,9.1,4.8658047,4.08566
6586,Each day brings it own bread.,7,7,9.1,1.7593883,5.7367396
7057,"Avoid one needs to be told that a vast deal of labor is expended unnecessarily. This is occasioned, to a great extent, by the neglect of seasonable repairs..",7,7,9.1,8.223325,6.91058
9131,"( Giordano Bruno , Il Candelaio ).",7,7,9.1,-2.119462,9.049042
256,You don't get nothing for nothing.,6,9,8.7,4.7907124,4.063316
1480,All truths are not to be told.,6,8,8.4,2.0106697,5.771631
105,Cooperation make light work..,6,7,8.1,4.1792274,1.0872936
182,"Thomas Fuller, Gnomologia (1732).",6,7,8.1,0.20298408,8.461835
726,Give him an inch and he will take a yard.,6,7,8.1,5.340071,3.472698
1004,Necessity has no law.,6,7,8.1,1.2798064,4.9858847
1104,"Easy come, easy go.",6,7,8.1,-0.9229366,5.7419505
1697,"The more you stroke the cat's tail, the more he raises his back.",6,7,8.1,3.3266242,2.003539
1719,Well done is better than well said.,6,7,8.1,-0.7558478,-0.44448102
4290,Easier said than done.,6,7,8.1,2.9715326,1.519239
4866,A liar should have a good memory.,6,7,8.1,1.02204,2.0541117
2,Charity begins at home.,6,6,7.8,-0.36285514,7.4262605
4,Old love does not rust.,6,6,7.8,0.7656797,-0.6747347
34,Better is the enemy of good.,6,6,7.8,0.2102988,0.3446625
35,You can't get something for nothing.,6,6,7.8,4.7856584,4.0341234
56,"If you want a thing done right, then do it yourself..",6,6,7.8,5.0422406,5.3021
84,"The last will be first, and the first last.",6,6,7.8,4.9284115,3.120336
126,"Jacques-Bénigne Bossuet , Politique Tirée de l'Écriture Sainte (Politics Drawn from the Very Words of Holy Scripture) (1679 - published 1709).",6,6,7.8,2.318834,0.3493072
152,The voice of the people is the voice of god.,6,6,7.8,3.794243,3.0293863
246,A bad workman blames his tools.,6,6,7.8,2.1323304,5.438755
295,English equivalentː Speech is silver; silence is golden.,6,6,7.8,-7.413275,-1.9436839
303,"William Shakespeare, The Merchant of Venice (1592).",6,6,7.8,4.9334474,3.260589
318,English equivalent. He that can have patience can have what he will.,6,6,7.8,-7.329799,-1.8627076
321,It is no use crying over spilt milk.,6,6,7.8,1.0510969,7.1814227
333,Great cry and little wool.,6,6,7.8,-2.6255686,2.7215908
345,"He that will not work, shall not eat.",6,6,7.8,5.2311893,2.8727124
353,"The man who thinks before he acts, is most likely to act with discretion, and have no future cause to repent of his conduct; but he who acts blindly, without any foresight, will probably suffer for his rashness.",6,6,7.8,6.3273964,4.84412
360,Handsome is that handsome does.,6,6,7.8,1.4432085,3.4433327
490,Everything is worth its price.,6,6,7.8,5.1402545,4.460767
509,"As you sow, so shall you reap.",6,6,7.8,5.104712,5.3728485
520,Time and tide waits for no man.,6,6,7.8,0.3247757,5.2475643
577,Everyone should sweep before his own door.,6,6,7.8,-0.49744016,4.1664133
598,"Bertrand Russell, The Conquest of Happiness (1930).",6,6,7.8,2.9652383,4.2580786
622,From nothing nothing can come.,6,6,7.8,4.8027997,4.022922
638,A good name is the best of all treasures.,6,6,7.8,1.0062463,0.8638394
657,Out of the abundance of the heart the mouth speaketh.,6,6,7.8,3.7363675,3.0494266
724,The early bird gets the worm.,6,6,7.8,3.5032392,2.9009044
852,"The dogs bark, but the caravan passes on.",6,6,7.8,3.4823482,3.0552585
886,Inquisitiveness – or a desire to find about something – can lead you into trouble.,6,6,7.8,4.372051,4.565846
911,"Do as you may, if you can't do as you could.",6,6,7.8,5.2124987,5.4372296
949,Prefer safe over sorry..,6,6,7.8,7.9318695,5.522367
966,"If you are unsure what to do, then it is best to do nothing at all..",6,6,7.8,4.3130574,4.717083
970,Fine feathers make fine birds.,6,6,7.8,4.138146,1.0034795
979,Forget other faults remembering your own; Forgive and forget.,6,6,7.8,0.4701707,5.1342273
1098,Birds fly not into our mouth ready roasted.,6,6,7.8,2.050795,6.0356402
1125,Hunger is the best sauce.,6,6,7.8,3.2354171,3.3357
1138,We should never use an old tool when the extra labor in consequence costs more than a new one. Thousands wear out their lives and waste their time merely by the use of dull and unsuitable instruments.,6,6,7.8,3.184184,4.864469
1159,Blood is thicker than water.,6,6,7.8,0.5365399,0.53255844
1169,"If you buy cheaply, then you pay dearly..",6,6,7.8,5.067905,5.2667704
1207,He who fights and runs away may live to fight another day.,6,6,7.8,2.0235329,1.8120573
1262,After rain comes sunshine.,6,6,7.8,-0.82369655,5.40578
1269,Forge while the iron is hot.,6,6,7.8,0.64850587,4.85982
1308,Don't judge a book by its cover.,6,6,7.8,5.821546,6.4872866
1311,"Meaning: ""The best way to conquer or control a group of people is by encouraging them to fight among themselves rather than allowing them to unite in opposition to the ruling authority.",6,6,7.8,-7.1191998,12.898866
1319,Don't change horses in midstream.,6,6,7.8,5.8566604,6.5234423
1335,It is not the beard that makes the philosopher.,6,6,7.8,3.8496451,1.3499289
1339,"When in Rome, do as the Romans do.",6,6,7.8,2.255886,2.6546192
1345,Excess of cooks spoil the broth. is harmful.,6,6,7.8,3.0943856,3.6926444
1353,"Patience is a virtue, and a little will not hurt you.",6,6,7.8,-2.5289693,2.782587
1360,Many a mickle makes a muckle.,6,6,7.8,4.1923375,1.0542035
1364,One rotten apple will spoil the whole barrel.,6,6,7.8,5.159799,3.3052669
1400,"Whom God will destroy, he first make mad.",6,6,7.8,5.3351192,3.3827767
1401,"He gives twice, who gives in a trice.",6,6,7.8,1.6395772,4.6179833
1415,Many kiss the hand they wish cut off.,6,6,7.8,3.3659744,4.7389183
1634,Divide and conquer.,6,6,7.8,3.5283673,6.0933757
1643,The bird loves her own nest.,6,6,7.8,2.7788582,2.6920166
1683,Avoid man is indispensable..,6,6,7.8,8.497864,7.0258374
1717,Money is there to be spent.,6,6,7.8,0.56305844,3.8136342
1776,The pot calls the kettle black.,6,6,7.8,3.478406,2.8981907
1820,"Look before you leap, for snakes among sweet flowers do creep.",6,6,7.8,4.2668695,5.2429423
1876,An incompetent person or an unsystematic approach is bound to succeed every now and then by chance.,6,6,7.8,0.115188904,3.952325
1883,"Dale Carnegie, How to Stop Worrying and Start Living (1948).",6,6,7.8,3.152918,5.9000564
1911,"Early ripe, early rotten.",6,6,7.8,0.54346573,8.248041
1944,"Latin equivalent: Hear, see, be silent, if you wish to live (in peace).",6,6,7.8,-7.261223,-1.7968037
2006,A blind man should not judge of colours.,6,6,7.8,0.92465323,2.355757
2067,Every man loves well what is like to himself.,6,6,7.8,1.1681396,4.3737397
2119,Like will to like.,6,6,7.8,7.619473,2.6897347
2291,Action taken to put something right is often more unpleasant or damaging than the original problem.,6,6,7.8,3.9893367,4.3981566
2402,Let the buyer have a thousand eyes for the seller wants only one.,6,6,7.8,3.6265104,5.1039486
2439,Take heed of enemies reconciled and of meat twice boiled.,6,6,7.8,3.2860174,6.0866647
2440,The covetous man is good to none and worst to himself.,6,6,7.8,0.9300198,1.0969033
2465,"The bird is known by his note, the man by his words.",6,6,7.8,2.1801672,5.2649274
2530,Avoid play with edged tools..,6,6,7.8,8.421524,6.854444
2728,"If you are sufficiently determined to achieve something, then then you will find a way of doing so..",6,6,7.8,4.60801,4.80506
2863,Avoid one can be the judge in his own case..,6,6,7.8,8.522441,7.053248
3533,An uneducated man cannot judge of the attainments of the learned.,6,6,7.8,2.8525128,5.1238856
3537,Even Homer sometimes nods.,6,6,7.8,0.29416367,6.2751923
3578,"If you are forced to choose between two options, then both of which are undesirable, all you can do is choose the one that is less undesirable than the other..",6,6,7.8,3.7731314,4.50228
3589,It is not wise to open old wounds.,6,6,7.8,2.1605656,6.124588
3642,Poverty is the reward of idleness.,6,6,7.8,3.1139076,3.6574361
3808,English equivalentː A hedge between keeps friends green.,6,6,7.8,-7.335135,-1.8680493
4029,The greatest weakness of all weaknesses is to fear too much to appear weak.,6,6,7.8,3.0333064,3.906655
4207,Crooked logs make straight fires.,6,6,7.8,4.1827307,1.0637383
4209,Gluttony kills more than the sword.,6,6,7.8,3.1446867,1.5526024
4301,Deal gently with the bird you mean to catch.,6,6,7.8,5.937034,5.0285277
4435,It's by the head that the cow gives the milk.,6,6,7.8,1.9317411,3.1923769
4467,A golden key opens any gate but that of heaven.,6,6,7.8,1.3993328,3.346733
4518,"Good riding at two anchors, men have told, for if the one fails, the other may hold.",6,6,7.8,1.460426,1.5131307
4528,Spread your risks or investments so that if one enterprise fails you will not lose everything.,6,6,7.8,4.979038,4.488819
4580,"For what thou canst do thyself, rely not on another.",6,6,7.8,2.0395396,1.9383825
4582,His own desire leads every man.,6,6,7.8,-0.5593044,4.1781707
5083,Take the will for the deed.,6,6,7.8,5.013199,3.0663872
5104,The remedy is often worse than the disease; Burn not your house to rid it off the mouse.,6,6,7.8,3.2786615,2.2213378
5598,What goes around comes around.,6,6,7.8,-0.81652087,5.479685
6006,Give the devil his due.,6,6,7.8,4.4144692,2.263328
7636,Dry bread at home is better than roast meat abroad.,6,6,7.8,-0.7532744,-0.4501958
8275,Set a thief to catch a thief.,6,6,7.8,2.3026605,6.9597015
9989,People of only limited capability can succeed when surrounded by those who are even less able than themselves.,6,6,7.8,2.2072935,4.3067226
10071,Cobblers' children are worst shod.,6,6,7.8,0.7140651,5.7729125
820,"Ambrose Bierce, The Devil's Dictionary (1906).",5,8,7.4,4.357171,2.277281
1117,There is no rule without an exception.,5,8,7.4,7.169351,4.7783704
199,The way to a man's heart is through his stomach.,5,7,7.1,2.3910704,5.475393
306,"Meaning: ""In private animosities and verbal contentions, where angry passions are apt to rise, and irritating, if not profane expressions are often made use of, as we sometimes see to be the case, not only among neighbors, but in families, between husbands and wives, or parents and children, or the children themselves and other members of the household, - the least said, the better in general. By multiplying words, cases often grow worse instead of better.",5,7,7.1,3.2081547,4.635922
38,"Today me, tomorrow thee.",5,6,6.8,2.0616994,6.960414
66,Good laws have sprung from bad customs.,5,6,6.8,1.9470654,0.31986016
151,The pitcher goes so often to the well that it is broken at last.,5,6,6.8,1.8717508,3.198868
410,Birds of a feather flock together.,5,6,6.8,2.0161235,1.7290605
466,"François de La Rochefoucauld, Reflections; or Sentences and Moral Maxims (1665–1678).",5,6,6.8,3.2208953,6.098262
529,Every hair casts its shadow.,5,6,6.8,-0.33348855,4.111076
537,Wealth rarely brings happiness.,5,6,6.8,1.8397228,7.4567523
704,"When thy friend asks, let there be no to-morrow.",5,6,6.8,4.3760734,10.717901
806,All is fish that comes to the net.,5,6,6.8,-0.6828281,5.2812943
976,"Kelly, Walter Keating (1859). Proverbs of all nations . W. Kent & co. (late D. Bogue). p. X.",5,6,6.8,6.971358,0.23358445
990,Choose a wife rather by your ear than your eye.,5,6,6.8,5.0403175,5.836363
1322,Every cloud has a silver lining.,5,6,6.8,-0.55000955,4.192115
1626,"George S. Patton , War as I Knew It (1947).",5,6,6.8,0.3400228,7.7073793
1742,We must accept with gratitude and without complaint what we are given when we do not have the means or opportunity to provide ourselves with something better.,5,6,6.8,6.5812216,4.786497
2297,A bad craftsman blames his tools.,5,6,6.8,2.1613674,5.452331
2528,"In for a penny, in for a pound.",5,6,6.8,0.1907696,5.0431046
4594,We should not plan and then try to make circumstances fit those plans. Instead we should make plans fit the circumstances.,5,6,6.8,0.9728906,2.3767357
12,A crow doesn't pick out another crow's eyes.,5,5,6.5,0.2184788,-0.36365575
27,"Honey is sweet, but the bees sting.",5,5,6.5,3.313464,3.7332501
88,Bad is the best choice.,5,5,6.5,3.2993588,3.2664628
