people,saying,original,english_equivalent,source_title,source_url
Romanian,Eavesdroppers hear no good of themselves.,Cine ascultǎ la ușă își aude faima.,Eavesdroppers hear no good of themselves.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Eavesdroppers hear no good of themselves.,,English equivalent: Eavesdroppers hear no good of themselves.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Who says "A" must say "B".,"Cine zice una, trebuie să zică și două.",Who says "A" must say "B".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Who says one thing must say two.,,Who says one thing must say two.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Who says "A" must say "B".,,English equivalent: Who says "A" must say "B".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"von Düringsfeld, Ida; von Düringsfeld, Otto (1872).",,"von Düringsfeld, Ida; von Düringsfeld, Otto (1872).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Cine spune mult face puțin.,,Cine spune mult face puțin.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,He who talks much does little.,,He who talks much does little.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalentː Great talkers are little doers.,,English equivalentː Great talkers are little doers.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Well done is better than well said.".,,Well done is better than well said.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Flonta, Teodor (2001).",,"Flonta, Teodor (2001).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Cine vrea miezul, să spargă nuca.",,"Cine vrea miezul, să spargă nuca.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalentː He that would eat the kernel must crack the nut.,,English equivalentː He that would eat the kernel must crack the nut.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Nothing is achieved without effort.".,,Nothing is achieved without effort.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Strauss, Emanuel (194). ""784"".",,"Strauss, Emanuel (194). ""784"".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,All that is fair must fade.,"Toate cele frumoase, poartă și ponoase.",All that is fair must fade,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: All that is fair must fade.,,English equivalent: All that is fair must fade.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Nothing lasts forever.".,,Nothing lasts forever.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,You must not run after two hares at the same time.,"Cine aleargă după doi iepuri, nu prinde nici unul.",You must not run after two hares at the same time.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: You must not run after two hares at the same time.,,English equivalent: You must not run after two hares at the same time.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Concentrate on one thing at a time or you will achieve nothing. - Trying to do two or more things at a time, when even one on its own needs full effort, means that none of them will be accomplished properly."".",,"Concentrate on one thing at a time or you will achieve nothing. - Trying to do two or more things at a time, when even one on its own needs full effort, means that none of them will be accomplished properly."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"He gives twice, who gives in a trice.","Cine dă îndatǎ, dă de două ori.","He gives twice, who gives in a trice.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: He gives twice, who gives in a trice.",,"English equivalent: He gives twice, who gives in a trice.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"He that will not when he may, when he will he may have nay.",Cine nu face când poate nu face când vrea.,"He that will not when he may, when he will he may have nay.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: He that will not when he may, when he will he may have nay.",,"English equivalent: He that will not when he may, when he will he may have nay.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Take advantage of an opportunity when it presents itself, even if you do not want or need it at the time, because it may no longer be available when you do."".",,"Take advantage of an opportunity when it presents itself, even if you do not want or need it at the time, because it may no longer be available when you do."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,A burnt child dreads the fire.,"Cine s'a fript cu supa, suflă și-n iaurt.",A burnt child dreads the fire.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: A burnt child dreads the fire.,,English equivalent: A burnt child dreads the fire.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"He who digs a pit for others, will fall in it himself.","Cine sapă groapa altuia, cade singur în ea.","He who digs a pit for others, will fall in it himself.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: He who digs a pit for others, will fall in it himself.",,"English equivalent: He who digs a pit for others, will fall in it himself.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Strauss, Emmanuel (1994).",,"Strauss, Emmanuel (1994).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Like will to like.,"Cine se aseamănă, se adunǎ.",Like will to like.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Like will to like.,,English equivalent: Like will to like.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Every man loves well what is.,,Every man loves well what is.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Don't blow your own horn.,"Cine se laudă singur, se ocărăște pe sine.",Don't blow your own horn.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Don't blow your own horn.,,English equivalent: Don't blow your own horn.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Mrs Mawr, E B (2005).",,"Mrs Mawr, E B (2005).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Early to bed and early to rise, makes a.","Cine se scoală de dimineață, departe ajunge.","Early to bed and early to rise, makes a",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Early to bed and early to rise, makes a.",,"English equivalent: Early to bed and early to rise, makes a.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,A lifestyle that involves neither staying up late nor sleeping late is.,,A lifestyle that involves neither staying up late nor sleeping late is.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"University, Vermont, bi-Yerushalayim (1986).",,"University, Vermont, bi-Yerushalayim (1986).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Least said, soonest mended.",Cine tace nu se căiește.,"Least said, soonest mended.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Least said, soonest mended.",,"English equivalent: Least said, soonest mended.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"In private animosities and verbal contentions, where angry passions are apt to rise, - the least said, the better in general. By multiplying words, cases often grow worse instead of better."".",,"In private animosities and verbal contentions, where angry passions are apt to rise, - the least said, the better in general. By multiplying words, cases often grow worse instead of better."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Porter, William Henry (1845).",,"Porter, William Henry (1845).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,He that lives on hope will die fasting.,Cine trăiește nădăjduind moare jinduind.,He that lives on hope will die fasting.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: He that lives on hope will die fasting.,,English equivalent: He that lives on hope will die fasting.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,A golden key opens any gate but that of heaven.,Cu cheia de aur se deschide poarta raiului.,A golden key opens any gate but that of heaven.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: A golden key opens any gate but that of heaven.,,English equivalent: A golden key opens any gate but that of heaven.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"As you make your bed, so you must lie.","Cum îți așterni, așa dormi","As you make your bed, so you must lie.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: As you make your bed, so you must lie.",,"English equivalent: As you make your bed, so you must lie.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,You must put up with the unpleasant results of a foolish action or decision.".,,You must put up with the unpleasant results of a foolish action or decision.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Children,.",,"English equivalent: Children,.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Children and fools have no inhibition, and alcohol consumed removes the inhibition against telling the truth that occasionally one would like to keep secret."".",,"Children and fools have no inhibition, and alcohol consumed removes the inhibition against telling the truth that occasionally one would like to keep secret."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Source for proverbs and meaning:.,,Source for proverbs and meaning:.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,It will all be the same a hundred years hence.,Cu moartea toate diferențele dispar.,It will all be the same a hundred years hence.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: It will all be the same a hundred years hence.,,English equivalent: It will all be the same a hundred years hence.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Trivial problems or mistakes of the present moment have no lasting significance or effect, so there is no point in worrying about them."".",,"Trivial problems or mistakes of the present moment have no lasting significance or effect, so there is no point in worrying about them."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Rain is made by drops.,Cu picătura se face ploaia.,Rain is made by drops.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Rain is made by drops.,,English equivalent: Rain is made by drops.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"All contributions, however small, are of use."".",,"All contributions, however small, are of use."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Source for proverbs:.,,Source for proverbs:.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Cu prea multă grabă nu faci multă ispravă.,,Cu prea multă grabă nu faci multă ispravă.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalentː More haste less, speed.",,"English equivalentː More haste less, speed.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Like father, like son.","Cum e tata, e și fiul.","Like father, like son.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Like father, like son.",,"English equivalent: Like father, like son.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Sons may look and behave like their fathers. This is due to inheritance and the example observed closely and daily.".,,Sons may look and behave like their fathers. This is due to inheritance and the example observed closely and daily.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Set a herring to catch a whale.,"Cu râma mică, se prinde peștele cel mare.",Set a herring to catch a whale.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Set a herring to catch a whale.,,English equivalent: Set a herring to catch a whale.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Fine.,,English equivalent: Fine.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Mere words have no value unless they are followed by positive action.".,,Mere words have no value unless they are followed by positive action.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Like.,,English equivalent: Like.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Daughters may look and behave like their mothers. This is due to inheritance and the example observed closely and rarely.".,,Daughters may look and behave like their mothers. This is due to inheritance and the example observed closely and rarely.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Dacă vreĭ să trăescĭ liniscit, să nu ved̦ĭ, să n'aud̦ĭ, și să tacĭ.",,"Dacă vreĭ să trăescĭ liniscit, să nu ved̦ĭ, să n'aud̦ĭ, și să tacĭ.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Contemporary Romanian: Dacă vrei să trăiești liniștit, să nu vezi, să n-auzi și să taci.",,"Contemporary Romanian: Dacă vrei să trăiești liniștit, să nu vezi, să n-auzi și să taci.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Tiktin, Hariton (2003) (in German).",,"Tiktin, Hariton (2003) (in German).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Latin equivalent: Hear, see, be silent, if you wish to live (in peace).",,"Latin equivalent: Hear, see, be silent, if you wish to live (in peace).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"If only I knew then, what I do now.","Dă-i, Doamne, mintea românului din urmă.","If only I knew then, what I do now.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: If only I knew then, what I do now.",,"English equivalent: If only I knew then, what I do now.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Life imitates art.,"De multe ori ce este scăzut în fire, meșteșugul cum se cade plinește.",Life imitates art.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Life imitates art.,,English equivalent: Life imitates art.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Necessity has no law.,De nevoie n-ai ce face.,Necessity has no law.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Necessity has no law.,,English equivalent: Necessity has no law.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The least of two evils.,Din două rele s-alegi pe cea mai mică.,The least of two evils.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: The least of two evils.,,English equivalent: The least of two evils.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Meaning: ""If you are forced to choose between two options, both of which are undesirable, all you can do is choose the one that is less undesirable than the other."".",,"Meaning: ""If you are forced to choose between two options, both of which are undesirable, all you can do is choose the one that is less undesirable than the other."".",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Good blood always shows itself.,"Din omul bun, bun lucru iese.",Good blood always shows itself.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Good blood always shows itself.,,English equivalent: Good blood always shows itself.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Out of the abundance of the heart the mouth speaketh.,Din prisosul inimii grăiește gura.,Out of the abundance of the heart the mouth speaketh.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Out of the abundance of the heart the mouth speaketh.,,English equivalent: Out of the abundance of the heart the mouth speaketh.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The road to hell is paved with.,Drumul spre iad e pavat cu intenții bune.,The road to hell is paved with,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: The road to hell is paved with.,,English equivalent: The road to hell is paved with.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Republica Populară Romînă, Republica Socialistă România (1981).",,"Republica Populară Romînă, Republica Socialistă România (1981).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,After rain comes sunshine.,"Dupâ ploie, vine soare.",After rain comes sunshine.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: After rain comes sunshine.,,English equivalent: After rain comes sunshine.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Exemplele rele strică moravurile bune.,,Exemplele rele strică moravurile bune.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Fă-mă, mamă, împărat, să mă mir ce m-a găsit.",,"Fă-mă, mamă, împărat, să mă mir ce m-a găsit.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Fă-mă, mamă, să-ți semăn.",,"Fă-mă, mamă, să-ți semăn.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Actions speak loudee than words.,Faptele grăiesc mai apăsat decât vorbele.,Actions speak loudee than words.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Actions speak loudee than words.,,English equivalent: Actions speak loudee than words.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The bird loves her own nest.,Fiecare pasăre își iubește cuibul.,The bird loves her own nest.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: The bird loves her own nest.,,English equivalent: The bird loves her own nest.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,There is no accounting for taste.,Fieșicare cu gustul său.,There is no accounting for taste.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: There is no accounting for taste.,,English equivalent: There is no accounting for taste.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Handsome is that handsome does.,Fii dupǎ cum te aratǎ chipul.,Handsome is that handsome does.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Handsome is that handsome does.,,English equivalent: Handsome is that handsome does.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,All is well that ends well.,"Finea bună, tote bune.",All is well that ends well.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: All is well that ends well.,,English equivalent: All is well that ends well.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Problems and misfortunes along the way can be forgotten as long as the end is satisfactory.".,,Problems and misfortunes along the way can be forgotten as long as the end is satisfactory.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The apple does not fall far from the tree.,Fructul nu cade departe de pom.,The apple does not fall far from the tree.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: The apple does not fall far from the tree.,,English equivalent: The apple does not fall far from the tree.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Children observe daily and — in their behaviour — often follow the example of their parents.".,,Children observe daily and — in their behaviour — often follow the example of their parents.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Strauss, Emanuel (1994).",,"Strauss, Emanuel (1994).",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Gluttony kills more than the sword.,Gura ucide mai mult decât sabia.,Gluttony kills more than the sword.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Gluttony kills more than the sword.,,English equivalent: Gluttony kills more than the sword.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Among the blind, the one-eyed is king.","În țara orbilor, cel cu un ochi este împărat.","Among the blind, the one-eyed is king.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Among the blind, the one-eyed is king.",,"English equivalent: Among the blind, the one-eyed is king.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,People of only limited capability can succeed when surrounded by those who are even less able than themselves.".,,People of only limited capability can succeed when surrounded by those who are even less able than themselves.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Poverty is the reward of idleness.,Lenea e începutul sărăciei.,Poverty is the reward of idleness.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Poverty is the reward of idleness.,,English equivalent: Poverty is the reward of idleness.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Beware of false prophets which come to you in sheep's clothing, but inwardly, they are ravening.",Lup în piele de oaie.,"Beware of false prophets which come to you in sheep's clothing, but inwardly, they are ravening",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"English equivalent: Beware of false prophets which come to you in sheep's clothing, but inwardly, they are ravening.",,"English equivalent: Beware of false prophets which come to you in sheep's clothing, but inwardly, they are ravening.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,An innocent demeanor may hide much guilt.".,,An innocent demeanor may hide much guilt.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Honesty is the best policy.,Mai bine puțin cu dreptate decât mult cu strâmbǎtate.,Honesty is the best policy.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Honesty is the best policy.,,English equivalent: Honesty is the best policy.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Being honest or telling the truth is always the wisest course of action.".,,Being honest or telling the truth is always the wisest course of action.".,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,You can catch more flies with a drop of honey than with a barrel of vinegar.,Mai multe muște cad în miere decât în oțet.,You can catch more flies with a drop of honey than with a barrel of vinegar.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: You can catch more flies with a drop of honey than with a barrel of vinegar.,,English equivalent: You can catch more flies with a drop of honey than with a barrel of vinegar.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,The apple does not fall far from the.,Mǎrul nu cade departe de pom.,The apple does not fall far from the,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: The apple does not fall far from the.,,English equivalent: The apple does not fall far from the.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,One rotten apple will spoil the whole barrel.,Mărul putred strică și pe cele bune.,One rotten apple will spoil the whole barrel.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: One rotten apple will spoil the whole barrel.,,English equivalent: One rotten apple will spoil the whole barrel.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Everyone should sweep before his own door.,Măture fie-care la ușa sa.,Everyone should sweep before his own door.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Everyone should sweep before his own door.,,English equivalent: Everyone should sweep before his own door.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Don't make a.,Mincinosul cu de-a sila face musca cât cămila.,Don't make a,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Don't make a.,,English equivalent: Don't make a.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Great cry and little wool.,Mult zgomot pentru nimic.,Great cry and little wool.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Great cry and little wool.,,English equivalent: Great cry and little wool.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Munte cu munte nu s'adună, ma omlu totna va și s'va.",,"Munte cu munte nu s'adună, ma omlu totna va și s'va.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Idiomatic translation: A mountain never meets a mountain, but a man meets a man.",,"Idiomatic translation: A mountain never meets a mountain, but a man meets a man.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,"Meaning: There are some things/events that are impossible, like an encounter of mountains, but there is always a chance for people to meet.",,"Meaning: There are some things/events that are impossible, like an encounter of mountains, but there is always a chance for people to meet.",Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,Beggars can’t be choosers.,Nemulțumitului i se ia darul!,Beggars can’t be choosers.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,English equivalent: Beggars can’t be choosers.,,English equivalent: Beggars can’t be choosers.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
Romanian,We must accept with gratitude and without complaint what we are given when we do not have the means or opportunity to provide ourselves with something better.”.,,We must accept with gratitude and without complaint what we are given when we do not have the means or opportunity to provide ourselves with something better.”.,Romanian proverbs,https://en.wikiquote.org/wiki/Romanian_proverbs
